	BIOCHEMICAL	SUPER PATHWAY	Pathway	Feature	PLATFORM	CHEMICAL ID	RT	MZ	PUBCHEM	CAS	HMDB_ID	KEGG
62558	1-carboxyethylisoleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1-carboxyethylisoleucine	LC/MS Neg	100020427	2628	202.1085				
62559	1-carboxyethylleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1-carboxyethylleucine	LC/MS Neg	100020425	2663	202.1085				
62566	1-carboxyethylphenylalanine	Amino Acid	Phenylalanine Metabolism	1-carboxyethylphenylalanine	LC/MS Neg	100020419	2844	236.0928				
62562	1-carboxyethylvaline	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1-carboxyethylvaline	LC/MS Neg	100020423	2008	188.0928				
54885	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	1-linoleoyl-GPG (18:2)*	LC/MS Neg	100009227	5516	507.2728				
32350	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	1-methyl-4-imidazoleacetate	LC/MS Pos Early	100001208	2064	141.0659	75810	2625-49-2	HMDB02820	C05828
62946	1-methyl-5-imidazoleacetate	Amino Acid	Histidine Metabolism	1-methyl-5-imidazoleacetate	LC/MS Pos Early	100002910	1989	141.0659	6451814	4200-48-0	HMDB04988	
30460	1-methylhistidine	Amino Acid	Histidine Metabolism	1-methylhistidine	LC/MS Neg	100001051	1227	168.0779	92105	332-80-9	HMDB00001	C01152
27665	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1-methylnicotinamide	LC/MS Pos Early	55	1940	137.0709	457	1005-24-9	HMDB00699	C02918
34395	1-methylurate	Xenobiotics	Xanthine Metabolism	1-methylurate	LC/MS Polar	100001400	1900	181.0367	69726	708-79-2	HMDB03099	C16359
34389	1-methylxanthine	Xenobiotics	Xanthine Metabolism	1-methylxanthine	LC/MS Neg	100001405	1568.8	165.0418	80220	6136-37-4	HMDB10738	C16358
45968	1-oleoyl-GPG (18:1)*	Lipid	Lysophospholipid	1-oleoyl-GPG (18:1)*	LC/MS Neg	100005716	5610	509.2885				
45970	1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	1-palmitoyl-GPG (16:0)*	LC/MS Neg	100005717	5570	483.2728	3300276			
61868	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	1-ribosyl-imidazoleacetate*	LC/MS Pos Early	100001668	2006	259.0925	5117448	29605-99-0	HMDB02331	C05131
52235	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	Lipid	Phosphatidylserine (PS)	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	LC/MS Pos Late	100001872	2565	812.5436			HMDB12383	
52696	1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*	Lipid	Phosphatidylserine (PS)	1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*	LC/MS Pos Late	100001873	2407	836.5436		474943-18-5		
19265	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	Lipid	Phosphatidylserine (PS)	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	LC/MS Pos Late	100000639	3000	790.5593	9547087		HMDB10163	
34437	1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	1-stearoyl-GPG (18:0)	LC/MS Neg	100001462	5816	511.3041				
45966	1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	1-stearoyl-GPS (18:0)*	LC/MS Neg	100004327	5800	524.2994	9547101			
33971	10-heptadecenoate (17:1n7)	Lipid	Long Chain Monounsaturated Fatty Acid	10-heptadecenoate (17:1n7)	LC/MS Neg	100001278	5555	267.233	5312435	29743-97-3	HMDB60038	
33972	10-nonadecenoate (19:1n9)	Lipid	Long Chain Monounsaturated Fatty Acid	10-nonadecenoate (19:1n9)	LC/MS Neg	100001277	5780	295.2643	5312513	73033-09-7	HMDB13622	
32497	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	10-undecenoate (11:1n1)	LC/MS Neg	100001197	5085.8	183.1391	14891	1333-28-4	HMDB33724	C13910
63251	11beta-hydroxyandrosterone glucuronide	Lipid	Androgenic Steroids	11beta-hydroxyandrosterone glucuronide	LC/MS Neg	100020541	4209	481.2443				
38395	"12,13-DiHOME"	Lipid	"Fatty Acid, Dihydroxy"	"12,13-DiHOME"	LC/MS Neg	62	5137	313.2384	10236635	263399-35-5	HMDB04705	C14829
37752	13-HODE + 9-HODE	Lipid	"Fatty Acid, Monohydroxy"	13-HODE + 9-HODE	LC/MS Neg	100002196	5275	295.2283				
39609	16-hydroxypalmitate	Lipid	"Fatty Acid, Monohydroxy"	16-hydroxypalmitate	LC/MS Neg	100002953	5236.2	271.2279	10466	506-13-8	HMDB06294	C18218
38168	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	16a-hydroxy DHEA 3-sulfate	LC/MS Neg	100002126	4240	383.1534				
37482	17alpha-hydroxypregnenolone 3-sulfate	Lipid	Pregnenolone Steroids	17alpha-hydroxypregnenolone 3-sulfate	LC/MS Neg	100002128	4800	411.1847	152971	28901-70-4	HMDB00416	
52602	2'-deoxyuridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	2'-deoxyuridine	LC/MS Neg	536	1586	227.0673	13712	951-78-0	HMDB00012	C00526
57554	2'-O-methylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	2'-O-methylcytidine	LC/MS Pos Early	100010895	2411	258.1085	150971	2140-72-9		
57655	2'-O-methyluridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	2'-O-methyluridine	LC/MS Neg	100010896	1831	257.0779	102212	2140-76-3		
57547	"2,3-dihydroxy-2-methylbutyrate"	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	"2,3-dihydroxy-2-methylbutyrate"	LC/MS Polar	100010869	1318	133.0506	301941	14868-24-7	HMDB29576	
62805	"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"	LC/MS Neg	100020893	1156	177.0227				
38276	"2,3-dihydroxyisovalerate"	Xenobiotics	Food Component/Plant	"2,3-dihydroxyisovalerate"	LC/MS Polar	100002417	1050	133.0506	677	1756-18-9	HMDB12141	C04039
15664	"2,3-diphosphoglycerate"	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	"2,3-diphosphoglycerate"	LC/MS Neg	1227	555	264.952	186004	102783-53-9	HMDB01294	C01159
64328	"2,4-di-tert-butylphenol"	Xenobiotics	Chemical	"2,4-di-tert-butylphenol"	LC/MS Neg	100021918	5749	205.1597		96-76-4		
63042	"2,6-dihydroxybenzoic acid"	Xenobiotics	Drug - Topical Agents	"2,6-dihydroxybenzoic acid"	LC/MS Neg	100020837	2575	153.0193	9338	303-07-1	HMDB13676	
6146	2-aminoadipate	Amino Acid	Lysine Metabolism	2-aminoadipate	LC/MS Polar	381	3500	160.0615	469	542-32-5;1118-90-7	HMDB00510	C00956
42374	2-aminobutyrate	Amino Acid	Glutathione Metabolism	2-aminobutyrate	LC/MS Pos Early	1128	2059	104.0706	439691	1492-24-6	HMDB00650	C02261
43761	2-aminoheptanoate	Lipid	"Fatty Acid, Amino"	2-aminoheptanoate	LC/MS Pos Early	100004542	3160	146.1176	227939	1115-90-8		
43343	2-aminooctanoate	Lipid	"Fatty Acid, Amino"	2-aminooctanoate	LC/MS Pos Late	100004227	750	160.1332	69522	644-90-6	HMDB00991	
43266	2-aminophenol sulfate	Xenobiotics	Food Component/Plant	2-aminophenol sulfate	LC/MS Neg	100004322	1677	188.0023	181670		HMDB61116	
36746	2-hydroxy-3-methylvalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	2-hydroxy-3-methylvalerate	LC/MS Neg	100001541	1800	131.0714	164623	488-15-3	HMDB00317	
63739	2-hydroxy-4-(methylthio)butanoic acid	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	2-hydroxy-4-(methylthio)butanoic acid	LC/MS Polar	100021372	1065	149.0278		583-91-5		
33173	2-hydroxyacetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	2-hydroxyacetaminophen sulfate*	LC/MS Neg	100001791	1674	246.0078	86290013			
61700	2-hydroxyarachidate*	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxyarachidate*	LC/MS Neg	100019892	5990	327.2905	5225199			
57663	2-hydroxybehenate	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxybehenate	LC/MS Neg	100015637	6384	355.3218	193484			
52281	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	2-hydroxybutyrate/2-hydroxyisobutyrate	LC/MS Polar	100008928	1258	103.0401				
42489	2-hydroxydecanoate	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxydecanoate	LC/MS Neg	100004089	4840	187.134	21488	5393-81-7		
18281	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	2-hydroxyhippurate (salicylurate)	LC/MS Neg	1869	2184	194.0459	10253	487-54-7	HMDB00840	C07588
52916	2-hydroxylaurate	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxylaurate	LC/MS Neg	100008934	5211	215.1653	97783	2984-55-6		
61698	2-hydroxynervonate*	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxynervonate*	LC/MS Neg	100015638	6345	381.3374	5312783			
22036	2-hydroxyoctanoate	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxyoctanoate	LC/MS Neg	100000743	3736.8	159.1027	94180	617-73-2	HMDB02264	
35675	2-hydroxypalmitate	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxypalmitate	LC/MS Neg	100001579	5511.2	271.2279	92836	764-67-0	HMDB31057	
1432	2-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	2-hydroxyphenylacetate	LC/MS Polar	235	858.6	151.0401	11970	614-75-5	HMDB00669	C05852
63357	2-hydroxysebacate	Lipid	"Fatty Acid, Dicarboxylate"	2-hydroxysebacate	LC/MS Neg	100020378	1324	217.1081	128458	103963-71-9	HMDB00424	
17945	2-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	2-hydroxystearate	LC/MS Neg	1239	5695	299.2592	69417	629-22-1		C03045
15667	2-isopropylmalate	Xenobiotics	Food Component/Plant	2-isopropylmalate	LC/MS Polar	100000409	2605	175.0612	77	3237-44-3	HMDB00402	C02504
63120	2-ketocaprylate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	2-ketocaprylate	LC/MS Neg	100020833	3951	157.087	67600	328-51-8	HMDB13211	
33161	2-methoxyacetaminophen glucuronide*	Xenobiotics	"Drug - Analgesics, Anesthetics"	2-methoxyacetaminophen glucuronide*	LC/MS Neg	100001795	1633	356.0987	14367271			
47031	2-methoxyacetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	2-methoxyacetaminophen sulfate*	LC/MS Neg	100001793	1949	260.0234	86290014			
45095	2-methylbutyrylcarnitine (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	2-methylbutyrylcarnitine (C5)	LC/MS Pos Early	100001509	3050	246.17	6426901	31023-25-3	HMDB00378	
62520	2-naphthol sulfate	Xenobiotics	Chemical	2-naphthol sulfate	LC/MS Neg	100020515	3658	223.0071	74428			
63990	2-O-methylascorbic acid	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	2-O-methylascorbic acid	LC/MS Neg	100003258	778	189.0405	99779	17860-87-6		
55072	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	2-oxoarginine*	LC/MS Pos Early	100002784	1760	174.0873	558	10/4/15	HMDB04225	C03771
43400	2-piperidinone	Xenobiotics	Food Component/Plant	2-piperidinone	LC/MS Pos Early	100004295	1675	100.0757	12665	675-20-7	HMDB11749	
46115	21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	21-hydroxypregnenolone disulfate	LC/MS Neg	100001999	3935	245.0671	134595	1164-98-3		
63109	"2R,3R-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	"2R,3R-dihydroxybutyrate"	LC/MS Polar	100002367	1543	119.035	13120901	759-06-8	HMDB00498	
62950	"2S,3R-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	"2S,3R-dihydroxybutyrate"	LC/MS Polar	100002284	1660	119.035	10964471	5057-93-2	HMDB02453	
62952	"3,4-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	"3,4-dihydroxybutyrate"	LC/MS Polar	100001730	2204	119.035		51267-44-8		
63589	"3,5-dichloro-2,6-dihydroxybenzoic acid"	Xenobiotics	Chemical	"3,5-dichloro-2,6-dihydroxybenzoic acid"	LC/MS Polar	100021324	693	220.9414				
35635	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	3-(3-hydroxyphenyl)propionate	LC/MS Neg	100001624	1980	165.0557	91	621-54-5	HMDB00375	C11457
32197	3-(4-hydroxyphenyl)lactate (HPLA)	Amino Acid	Tyrosine Metabolism	3-(4-hydroxyphenyl)lactate (HPLA)	LC/MS Neg	240	1379	181.0506	9378	6482-98-0	HMDB00755	C03672
34365	3-(cystein-S-yl)acetaminophen*	Xenobiotics	"Drug - Analgesics, Anesthetics"	3-(cystein-S-yl)acetaminophen*	LC/MS Pos Early	100001797	2420	271.0747	5233914			
62567	3-(methylthio)acetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	3-(methylthio)acetaminophen sulfate*	LC/MS Neg	100020827	2265	276.0006				
45721	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	"Drug - Analgesics, Anesthetics"	3-(N-acetyl-L-cystein-S-yl) acetaminophen	LC/MS Neg	2048	2094	311.0707	83967	52372-86-8		
62853	3-amino-2-piperidone	Amino Acid	Urea cycle; Arginine and Proline Metabolism	3-amino-2-piperidone	LC/MS Pos Early	100020361	2065	115.0866	5200225	1892-22-4	HMDB00323	
1566	3-aminoisobutyrate	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	3-aminoisobutyrate	LC/MS Pos Early	1114	2190	104.0706	64956	10569-72-9;214139-20-5	HMDB03911	C05145
63681	"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*"	Xenobiotics	Chemical	"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*"	LC/MS Neg	100021707	4505	264.8909				
61871	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	Lipid	"Fatty Acid, Dicarboxylate"	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	LC/MS Neg	100020004	4000	267.1238	194501			
31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	"Fatty Acid, Dicarboxylate"	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	LC/MS Neg	100001178	2800	239.0925	123979	86879-39-2	HMDB61112	
63361	3-decenoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	3-decenoylcarnitine	LC/MS Pos Late	100021136	1045	314.2326				
62863	3-formylindole	Xenobiotics	Food Component/Plant	3-formylindole	LC/MS Pos Early	100020219	2736	146.06	10256	487-89-8	HMDB29737	C08493
32397	3-hydroxy-2-ethylpropionate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	3-hydroxy-2-ethylpropionate	LC/MS Neg	100001170	975	117.0557	188979	4374-62-3	HMDB00396	
63227	3-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	3-hydroxy-2-methylpyridine sulfate	LC/MS Neg	100020975	1849	188.0023				
531	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	3-hydroxy-3-methylglutarate	LC/MS Polar	112	2850	161.0456	1662	503-49-1	HMDB00355	C03761
62069	3-hydroxyadipate*	Lipid	"Fatty Acid, Dicarboxylate"	3-hydroxyadipate*	LC/MS Polar	100004396	3131	161.0455	151913		HMDB00345	
61701	3-hydroxyarachidate*	Lipid	"Fatty Acid, Monohydroxy"	3-hydroxyarachidate*	LC/MS Neg	100019893	5950	327.2905	5282918			
542	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	3-hydroxybutyrate (BHBA)	LC/MS Polar	254	1480	103.0401	441	625-72-9	HMDB00357	C01089
62064	3-hydroxybutyroylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	3-hydroxybutyroylglycine	LC/MS Pos Early	100020211	978	162.0761				
22053	3-hydroxydecanoate	Lipid	"Fatty Acid, Monohydroxy"	3-hydroxydecanoate	LC/MS Neg	100000997	4634.7	187.134	26612	5561-87-5	HMDB02203	
63358	3-hydroxydecanoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	3-hydroxydecanoylcarnitine	LC/MS Pos Late	100021141	961	332.2432			HMDB61636	
62915	3-hydroxydodecanedioate*	Lipid	"Fatty Acid, Dicarboxylate"	3-hydroxydodecanedioate*	LC/MS Neg	100001454	2252	245.1394	16663321	34574-69-1	HMDB00413	
53230	3-hydroxyhexanoate	Lipid	"Fatty Acid, Monohydroxy"	3-hydroxyhexanoate	LC/MS Neg	100006367	1725	131.0714	151492	10191-24-9		
39600	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	3-hydroxyhippurate	LC/MS Neg	100002122	1687	194.0459	450268	1637-75-8	HMDB06116	
1549	3-hydroxyisobutyrate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	3-hydroxyisobutyrate	LC/MS Polar	111	1619	103.0401	87	2068-83-9	HMDB00336	C06001
32457	3-hydroxylaurate	Lipid	"Fatty Acid, Monohydroxy"	3-hydroxylaurate	LC/MS Neg	100001112	5175	215.1653	94216	53941-38-1	HMDB00387	
21158	3-hydroxymyristate	Lipid	"Fatty Acid, Monohydroxy"	3-hydroxymyristate	LC/MS Neg	100000882	5335	243.1966	16064	3422-31-9		
22001	3-hydroxyoctanoate	Lipid	"Fatty Acid, Monohydroxy"	3-hydroxyoctanoate	LC/MS Neg	100000773	3446	159.1027	26613	88930-08-9	HMDB01954	
64393	3-hydroxyoctanoylcarnitine (1)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	3-hydroxyoctanoylcarnitine (1)	LC/MS Pos Early	100021990	3445	304.2119				
64394	3-hydroxyoctanoylcarnitine (2)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	3-hydroxyoctanoylcarnitine (2)	LC/MS Pos Early	100021991	3497	304.2119				
48448	3-hydroxypyridine sulfate	Xenobiotics	Chemical	3-hydroxypyridine sulfate	LC/MS Neg	100006098	1595.5	173.9867		1955-23-3		
62062	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	3-hydroxystachydrine*	LC/MS Pos Early	100020203	1049	160.0968	442640			
52938	3-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	3-hydroxystearate	LC/MS Neg	100008933	5674	299.2592	5282907	45261-96-9		
63583	3-indoleglyoxylic acid	Xenobiotics	Food Component/Plant	3-indoleglyoxylic acid	LC/MS Neg	100020372	2140	188.0353	73863	1477-49-2		
27672	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	3-indoxyl sulfate	LC/MS Neg	100000467	2222.2	212.0023	10258	2642-37-7	HMDB00682	
48763	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	3-methoxycatechol sulfate (1)	LC/MS Neg	100006375	2163	218.9969				
12017	3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	3-methoxytyrosine	LC/MS Pos Early	1342	2555	212.0917	1670	300-48-1	HMDB01434	
46165	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	3-methyl catechol sulfate (1)	LC/MS Neg	100004112	2790	203.002				
44526	3-methyl-2-oxobutyrate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	3-methyl-2-oxobutyrate	LC/MS Neg	100000936	1465	115.0401	49	3715-29-5	HMDB00019	C00141
15676	3-methyl-2-oxovalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	3-methyl-2-oxovalerate	LC/MS Neg	100000036	2064.2	129.0557	47	1460-34-0;51829-07-3	HMDB03736	C00671
35132	3-methylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	3-methylcytidine	LC/MS Pos Early	100001466	2176	258.1085	159649	21028-20-6		
57747	3-methylglutaconate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	3-methylglutaconate	LC/MS Polar	100002458	2700	99.0452	1551553	5746-90-7	HMDB00522	
54676	3-methylglutarate/2-methylglutarate	Lipid	"Fatty Acid, Dicarboxylate"	3-methylglutarate/2-methylglutarate	LC/MS Polar	100010834	2832	145.0506				
46548	3-methylglutarylcarnitine (2)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	3-methylglutarylcarnitine (2)	LC/MS Pos Early	100005850	2687	290.1598	128145		HMDB00552	
15677	3-methylhistidine	Amino Acid	Histidine Metabolism	3-methylhistidine	LC/MS Neg	100000042	906.3	168.0779	64969	368-16-1	HMDB00479	C01152
32445	3-methylxanthine	Xenobiotics	Xanthine Metabolism	3-methylxanthine	LC/MS Neg	100001108	1700	165.0418	70639	1076-22-8	HMDB01886	C16357
15749	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	3-phenylpropionate (hydrocinnamate)	LC/MS Neg	100000010	2860	149.0608	107	501-52-0	HMDB00764	C05629
1414	3-phosphoglycerate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	3-phosphoglycerate	LC/MS Pos Early	132	590	187.0002	724	80731-10-8	HMDB00807	C00597
3155	3-ureidopropionate	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	3-ureidopropionate	LC/MS Polar	1053	2230	131.0462	111	462-88-4	HMDB00026	C02642
36803	"3beta,7alpha-dihydroxy-5-cholestenoate"	Lipid	Sterol	"3beta,7alpha-dihydroxy-5-cholestenoate"	LC/MS Neg	100001611	5275	431.3167	3081084	115538-84-6		C17335
54805	3beta-hydroxy-5-cholestenoate	Lipid	Sterol	3beta-hydroxy-5-cholestenoate	LC/MS Neg	100006370	5398	415.3218	165511	6561-58-6		C17333
1558	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	4-acetamidobutanoate	LC/MS Pos Early	1113	1350	146.0812	18189	3025-96-5	HMDB03681	C02946
12032	4-acetamidophenol	Xenobiotics	"Drug - Analgesics, Anesthetics"	4-acetamidophenol	LC/MS Neg	1383	2173.7	150.0561	1983	103-90-2	HMDB01859	C06804
15736	4-acetamidophenylglucuronide	Xenobiotics	"Drug - Analgesics, Anesthetics"	4-acetamidophenylglucuronide	LC/MS Neg	100000043	1400	326.0881	83944	120595-80-4	HMDB10316	
37475	4-acetaminophen sulfate	Xenobiotics	"Drug - Analgesics, Anesthetics"	4-acetaminophen sulfate	LC/MS Neg	2049	1792	230.0129	83939	10066-90-7;32113-41-0	HMDB59911	C06804
63597	4-allylcatechol sulfate	Xenobiotics	Benzoate Metabolism	4-allylcatechol sulfate	LC/MS Neg	100020578	3571	229.0176				
37181	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	4-allylphenol sulfate	LC/MS Neg	100001868	3805	213.0227				
63988	4-chlorobenzoic acid	Xenobiotics	Chemical	4-chlorobenzoic acid	LC/MS Neg	100021784	3015	154.9905		74-11-3		
63072	4-ethylcatechol sulfate	Xenobiotics	Benzoate Metabolism	4-ethylcatechol sulfate	LC/MS Neg	100020536	3379	217.0176				
36099	4-ethylphenyl sulfate	Xenobiotics	Benzoate Metabolism	4-ethylphenyl sulfate	LC/MS Neg	100001756	3580	201.0227	20822574	123-07-9	HMDB62551	C13637
15681	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	4-guanidinobutanoate	LC/MS Pos Early	100000096	2320	146.0924	500	463-003;463-00-3	HMDB03464	C01035
40062	4-hydroxy-2-oxoglutaric acid	Lipid	"Fatty Acid, Dicarboxylate"	4-hydroxy-2-oxoglutaric acid	LC/MS Polar	100002537	3073	161.0092	599	1187-99-1	HMDB02070	C01127
48441	4-hydroxychlorothalonil	Xenobiotics	Chemical	4-hydroxychlorothalonil	LC/MS Neg	100006082	4427	244.9082	34217	28343-61-5		
40499	4-hydroxyglutamate	Amino Acid	Glutamate Metabolism	4-hydroxyglutamate	LC/MS Pos Early	100002544	1141	164.0554	439902	2485-33-8	HMDB01344	C03079
35527	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	4-hydroxyhippurate	LC/MS Neg	100001423	1475	194.0459	151012	2482-25-9	HMDB13678	
541	4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	4-hydroxyphenylacetate	LC/MS Neg	144	1361	151.0401	127	156-38-7	HMDB00020	C00642
